ID Soalan,Soalan,Pilihan Jawapan,Jawapan Betul
1,Apakah maksud kesusasteraan dalam konteks pengajaran Bahasa Melayu?,A) Kajian tentang sains,
1,Apakah maksud kesusasteraan dalam konteks pengajaran Bahasa Melayu?,B) Kajian tentang budaya dan seni bahasa,B
1,Apakah maksud kesusasteraan dalam konteks pengajaran Bahasa Melayu?,C) Kajian tentang ekonomi,
1,Apakah maksud kesusasteraan dalam konteks pengajaran Bahasa Melayu?,D) Kajian tentang sejarah,
2,Apakah peranan utama kesusasteraan dalam pembelajaran bahasa?,A) Membantu pelajar memahami tatabahasa,
2,Apakah peranan utama kesusasteraan dalam pembelajaran bahasa?,B) Meningkatkan kemahiran komunikasi dan kreativiti,B
2,Apakah peranan utama kesusasteraan dalam pembelajaran bahasa?,C) Menjadikan pelajar lebih mahir dalam matematik,
2,Apakah peranan utama kesusasteraan dalam pembelajaran bahasa?,D) Mengajar konsep fizik,
3,Apakah jenis kesusasteraan yang sering digunakan dalam pengajaran Bahasa Melayu?,A) Kesusasteraan Inggeris,
3,Apakah jenis kesusasteraan yang sering digunakan dalam pengajaran Bahasa Melayu?,B) Kesusasteraan Melayu Klasik dan Moden,B
3,Apakah jenis kesusasteraan yang sering digunakan dalam pengajaran Bahasa Melayu?,C) Kesusasteraan Cina,
3,Apakah jenis kesusasteraan yang sering digunakan dalam pengajaran Bahasa Melayu?,D) Kesusasteraan Jepun,
4,Apakah contoh karya sastera klasik Melayu yang sering diajar di sekolah?,A) Hikayat Hang Tuah,A
4,Apakah contoh karya sastera klasik Melayu yang sering diajar di sekolah?,B) Harry Potter,
4,Apakah contoh karya sastera klasik Melayu yang sering diajar di sekolah?,C) Lord of the Rings,
4,Apakah contoh karya sastera klasik Melayu yang sering diajar di sekolah?,D) Game of Thrones,
5,Mengapakah kesusasteraan penting dalam pemupukan nilai murni?,A) Ia mengajar pelajar tentang kisah hantu,
5,Mengapakah kesusasteraan penting dalam pemupukan nilai murni?,B) Ia membantu membentuk sahsiah dan moral yang baik,B
5,Mengapakah kesusasteraan penting dalam pemupukan nilai murni?,C) Ia membantu pelajar menjadi kaya,
5,Mengapakah kesusasteraan penting dalam pemupukan nilai murni?,D) Ia hanya sekadar hiburan,
6,Apakah elemen utama dalam sebuah karya sastera?,"A) Watak, tema, dan plot",A
6,Apakah elemen utama dalam sebuah karya sastera?,B) Matematik dan Fizik,
6,Apakah elemen utama dalam sebuah karya sastera?,C) Warna dan bentuk,
6,Apakah elemen utama dalam sebuah karya sastera?,D) Jenis-jenis tumbuhan,
7,Apakah peranan pantun dalam kesusasteraan Melayu?,A) Sebagai alat komunikasi dan hiburan,A
7,Apakah peranan pantun dalam kesusasteraan Melayu?,B) Untuk mengajar sains,
7,Apakah peranan pantun dalam kesusasteraan Melayu?,C) Untuk menyelesaikan masalah matematik,
7,Apakah peranan pantun dalam kesusasteraan Melayu?,D) Untuk meramal masa depan,
8,Apakah bentuk puisi tradisional Melayu selain pantun?,A) Soneta,
8,Apakah bentuk puisi tradisional Melayu selain pantun?,B) Syair dan Gurindam,B
8,Apakah bentuk puisi tradisional Melayu selain pantun?,C) Haiku,
8,Apakah bentuk puisi tradisional Melayu selain pantun?,D) Limerick,
9,Bagaimanakah kesusasteraan membantu pelajar dalam penguasaan bahasa?,A) Dengan memperkenalkan kosa kata baru,A
9,Bagaimanakah kesusasteraan membantu pelajar dalam penguasaan bahasa?,B) Dengan menghafal nombor,
9,Bagaimanakah kesusasteraan membantu pelajar dalam penguasaan bahasa?,C) Dengan menulis rumusan sejarah,
9,Bagaimanakah kesusasteraan membantu pelajar dalam penguasaan bahasa?,D) Dengan membaca jurnal sains,
10,Siapakah antara tokoh sasterawan negara Malaysia?,A) A. Samad Said,A
10,Siapakah antara tokoh sasterawan negara Malaysia?,B) J.K. Rowling,
10,Siapakah antara tokoh sasterawan negara Malaysia?,C) Stephen King,
10,Siapakah antara tokoh sasterawan negara Malaysia?,D) George Orwell,
11,Apakah jenis karya yang termasuk dalam kesusasteraan lisan Melayu?,A) Novel moden,
11,Apakah jenis karya yang termasuk dalam kesusasteraan lisan Melayu?,"B) Hikayat, pantun, dan legenda",B
11,Apakah jenis karya yang termasuk dalam kesusasteraan lisan Melayu?,C) Drama Broadway,
11,Apakah jenis karya yang termasuk dalam kesusasteraan lisan Melayu?,D) Cerpen sains fiksyen,
12,Apakah maksud metafora dalam kesusasteraan?,A) Perbandingan secara langsung tanpa kata seperti 'seperti' atau 'bagai',A
12,Apakah maksud metafora dalam kesusasteraan?,B) Pengulangan kata dalam ayat,
12,Apakah maksud metafora dalam kesusasteraan?,C) Penggunaan bahasa kasar,
12,Apakah maksud metafora dalam kesusasteraan?,D) Kiasan yang tidak bermakna,
13,Mengapakah cerita rakyat penting dalam pengajaran kesusasteraan?,A) Ia menyampaikan nilai moral dan budaya,A
13,Mengapakah cerita rakyat penting dalam pengajaran kesusasteraan?,B) Ia hanya untuk hiburan semata-mata,
13,Mengapakah cerita rakyat penting dalam pengajaran kesusasteraan?,C) Ia mengandungi fakta sejarah tepat,
13,Mengapakah cerita rakyat penting dalam pengajaran kesusasteraan?,D) Ia tidak memberi kesan kepada pembelajaran,
14,Bagaimanakah kesusasteraan membantu membangunkan pemikiran kritis pelajar?,A) Dengan menganalisis tema dan watak,A
14,Bagaimanakah kesusasteraan membantu membangunkan pemikiran kritis pelajar?,B) Dengan menghafal perkataan sahaja,
14,Bagaimanakah kesusasteraan membantu membangunkan pemikiran kritis pelajar?,C) Dengan membaca tanpa memahami,
14,Bagaimanakah kesusasteraan membantu membangunkan pemikiran kritis pelajar?,D) Dengan mengabaikan aspek seni bahasa,
15,Apakah peranan novel dalam pengajaran Bahasa Melayu?,A) Memberikan pelajar pengalaman membaca secara mendalam,A
15,Apakah peranan novel dalam pengajaran Bahasa Melayu?,B) Menggantikan buku teks,
15,Apakah peranan novel dalam pengajaran Bahasa Melayu?,C) Mengajar pelajar cara menulis puisi,
15,Apakah peranan novel dalam pengajaran Bahasa Melayu?,D) Menghafal fakta sejarah,
16,Siapakah tokoh yang menulis 'Salina'?,A) A. Samad Said,A
16,Siapakah tokoh yang menulis 'Salina'?,B) Usman Awang,
16,Siapakah tokoh yang menulis 'Salina'?,C) Shahnon Ahmad,
16,Siapakah tokoh yang menulis 'Salina'?,D) J.M. Coetzee,
17,Bagaimanakah pengajaran kesusasteraan boleh diperkaya dalam kelas?,A) Melalui perbincangan dan lakonan,A
17,Bagaimanakah pengajaran kesusasteraan boleh diperkaya dalam kelas?,B) Dengan membaca sahaja tanpa perbincangan,
17,Bagaimanakah pengajaran kesusasteraan boleh diperkaya dalam kelas?,C) Dengan menghafal setiap ayat dalam novel,
17,Bagaimanakah pengajaran kesusasteraan boleh diperkaya dalam kelas?,D) Dengan menonton filem tanpa analisis,
18,Apakah keistimewaan sastera lisan berbanding sastera bertulis?,A) Ia diwarisi secara turun-temurun dan lebih bersifat interaktif,A
18,Apakah keistimewaan sastera lisan berbanding sastera bertulis?,B) Ia lebih moden dan menggunakan teknologi tinggi,
18,Apakah keistimewaan sastera lisan berbanding sastera bertulis?,C) Ia tidak boleh diubah suai oleh generasi baharu,
18,Apakah keistimewaan sastera lisan berbanding sastera bertulis?,D) Ia lebih pendek daripada sastera bertulis,
19,Bagaimanakah penggunaan novel sejarah membantu pelajar memahami warisan negara?,A) Dengan menghidupkan peristiwa sejarah melalui naratif,A
19,Bagaimanakah penggunaan novel sejarah membantu pelajar memahami warisan negara?,B) Dengan menggantikan buku teks sejarah,
19,Bagaimanakah penggunaan novel sejarah membantu pelajar memahami warisan negara?,C) Dengan menulis cerita fiksyen sendiri,
19,Bagaimanakah penggunaan novel sejarah membantu pelajar memahami warisan negara?,D) Dengan membaca novel moden sahaja,
20,Apakah manfaat utama pembelajaran kesusasteraan kepada pelajar?,"A) Meningkatkan daya imaginasi, empati, dan pemahaman bahasa",A
20,Apakah manfaat utama pembelajaran kesusasteraan kepada pelajar?,B) Memudahkan pelajar menjadi saintis,
20,Apakah manfaat utama pembelajaran kesusasteraan kepada pelajar?,C) Mengelakkan pelajar daripada membaca buku lain,
20,Apakah manfaat utama pembelajaran kesusasteraan kepada pelajar?,D) Menjadikan pelajar lebih mahir dalam matematik,
